Iteration Per Action,Score,Chosen element number,Percentile
32,4592,26,80
32,9704,26,80
32,11280,26,80
32,11312,26,80
32,6588,26,80
32,13336,26,80
32,11336,26,80
32,13980,26,80
32,6200,26,80
32,13004,26,80
32,13764,26,80
32,7040,26,80
32,11344,26,80
32,14188,26,80
32,10620,26,80
32,14720,26,80
32,13672,26,80
32,14996,26,80
32,14912,26,80
32,11796,26,80
32,25668,26,80
32,6608,26,80
32,5032,26,80
32,1348,26,80
32,6748,26,80
32,6268,26,80
32,13460,26,80
32,14516,26,80
32,6644,26,80
32,10768,26,80
32,11448,26,80
32,11396,26,80
32,2980,26,80
32,11476,26,80
32,25020,26,80
32,13128,26,80
32,512,26,80
32,15144,26,80
32,6344,26,80
32,13560,26,80
32,11108,26,80
32,12088,26,80
32,4752,26,80
32,2816,26,80
32,15180,26,80
32,5724,26,80
32,13648,26,80
32,14660,26,80
32,10660,26,80
32,4708,26,80
32,14416,26,80
32,15180,26,80
32,11376,26,80
32,5308,26,80
32,15172,26,80
32,13428,26,80
32,6592,26,80
32,15008,26,80
32,11332,26,80
32,14140,26,80
32,2764,26,80
32,13120,26,80
32,11508,26,80
32,15356,26,80
32,5088,26,80
32,11372,26,80
32,11336,26,80
32,25740,26,80
32,2952,26,80
32,5012,26,80
32,11392,26,80
32,15036,26,80
32,11320,26,80
32,21856,26,80
32,6532,26,80
32,6804,26,80
32,6960,26,80
32,6264,26,80
32,6696,26,80
32,6300,26,80
32,5852,26,80
32,8748,29,90
32,2444,29,90
32,13220,29,90
32,4344,29,90
32,11388,29,90
32,13640,29,90
32,5076,29,90
32,2860,29,90
32,9764,29,90
32,14792,29,90
32,6632,29,90
32,9748,29,90
32,11436,29,90
32,6628,29,90
32,1836,29,90
32,2868,29,90
32,12488,29,90
32,2180,29,90
32,5876,29,90
32,4620,29,90
32,4008,29,90
32,2932,29,90
32,2676,29,90
32,4360,29,90
32,14368,29,90
32,5092,29,90
32,2748,29,90
32,11444,29,90
32,14328,29,90
32,10208,29,90
32,6436,29,90
32,2788,29,90
32,2536,29,90
32,5960,29,90
32,6872,29,90
32,5936,29,90
32,10804,29,90
32,6884,29,90
32,2132,29,90
32,9368,29,90
32,6544,29,90
32,6564,29,90
32,13696,29,90
32,6844,29,90
32,1876,29,90
32,13768,29,90
32,11296,29,90
32,2832,29,90
32,11264,29,90
32,11032,29,90
32,4960,29,90
32,14492,29,90
32,5888,29,90
32,12528,29,90
32,2884,29,90
32,6624,29,90
32,1200,29,90
32,11332,29,90
32,2728,29,90
32,13352,29,90
32,5984,29,90
32,6356,29,90
32,9044,29,90
32,4932,29,90
32,2904,29,90
32,6728,29,90
32,14684,29,90
32,3440,29,90
32,648,29,90
32,10808,29,90
32,1132,29,90
32,6612,29,90
32,2856,29,90
32,10684,29,90
32,11264,29,90
32,4952,29,90
32,5216,29,90
32,10680,29,90
32,6828,29,90
32,13828,29,90
32,13208,29,90
32,4300,29,90
32,6308,29,90
32,4808,29,90
32,4648,29,90
32,9840,29,90
32,4880,29,90
32,6308,29,90
32,13480,29,90
32,2792,29,90
32,5848,29,90
32,1204,29,90
32,3016,29,90
32,14984,29,90
32,4936,29,90
32,2480,29,90
32,13396,29,90
32,5568,29,90
32,2752,29,90
32,4656,29,90
32,1196,32,100
32,5208,29,90
32,3344,29,90
32,2844,29,90
32,1084,32,100
32,532,32,100
32,2280,32,100
32,904,32,100
32,3364,32,100
32,984,32,100
32,2852,32,100
32,1188,32,100
32,2868,32,100
32,2632,32,100
32,300,32,100
32,2504,32,100
32,1236,32,100
32,4744,32,100
32,548,32,100
32,864,32,100
32,1796,32,100
32,1156,32,100
32,9404,32,100
32,9064,32,100
32,1212,32,100
32,4792,32,100
32,2256,32,100
32,1156,32,100
32,6008,32,100
32,1108,32,100
32,5216,32,100
32,1848,32,100
32,1272,32,100
32,2636,32,100
32,3052,32,100
32,572,32,100
32,1900,32,100
32,4400,32,100
32,2192,32,100
32,3144,32,100
32,632,32,100
32,3196,32,100
32,4692,32,100
32,1964,32,100
32,672,32,100
32,2072,32,100
32,4580,32,100
32,2856,32,100
32,2792,32,100
32,7216,32,100
32,1092,32,100
32,2616,32,100
32,1588,32,100
32,1584,32,100
32,1004,32,100
32,1180,32,100
32,2996,32,100
